Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,1798,1772,5,0,,,,,
Female, 6mo-4yr,Black,764,755,1,0,,,,,
Female, 6mo-4yr,Hispanic,6558,6479,17,0,,,,,
Female, 6mo-4yr,Other,926,906,6,0,,,,,
Female, 6mo-4yr,Unknown,505,492,6,0,,,,,
Female, 6mo-4yr,White,5308,5249,17,0,,,,,
Female,2022-05-11 00:00:00,Asian,59720,31380,26260,2069,,,,,
Female,2022-05-11 00:00:00,Black,46898,25863,20077,954,,,,,
Female,2022-05-11 00:00:00,Hispanic,510029,310058,191260,8609,,,,,
Female,2022-05-11 00:00:00,Other,176760,94802,75494,6419,,,,,
Female,2022-05-11 00:00:00,Unknown,33240,20990,11920,325,,,,,
Female,2022-05-11 00:00:00,White,144723,77634,61629,5424,,,,,
Female,2022-12-15 00:00:00,Asian,53837,25127,22199,6476,,,,,
Female,2022-12-15 00:00:00,Black,75158,38604,32069,4458,,,,,
Female,2022-12-15 00:00:00,Hispanic,598883,321749,240568,36421,,,,,
Female,2022-12-15 00:00:00,Other,251456,122479,106155,22615,,,,,
Female,2022-12-15 00:00:00,Unknown,23225,14005,8387,831,,,,,
Female,2022-12-15 00:00:00,White,202097,100548,85077,16361,,,,,
Female,16-49,Asian,724320,322811,278765,134070,,,,,
Female,16-49,Black,960443,468662,397486,114439,,,,,
Female,16-49,Hispanic,4401965,2205075,1796849,536706,,,,,
Female,16-49,Other,1799191,823078,719207,296921,,,,,
Female,16-49,Unknown,456725,262060,175978,34047,,,,,
Female,16-49,White,3080006,1472493,1275171,436308,,,,,
Female,50-64,Asian,246529,103141,89391,51680,,,,,
Female,50-64,Black,505915,211993,191570,100838,,,,,
Female,50-64,Hispanic,1645495,722074,612709,309237,,,,,
Female,50-64,Other,1047204,406595,373432,235183,,,,,
Female,50-64,Unknown,192025,102061,72538,22186,,,,,
Female,50-64,White,1886303,809345,729391,356417,,,,,
Female,65-79,Asian,123523,49238,41617,27362,,,,,
Female,65-79,Black,285639,108207,99254,67088,,,,,
Female,65-79,Hispanic,880894,353904,302429,192838,,,,,
Female,65-79,Other,1026212,350092,329522,259065,,,,,
Female,65-79,Unknown,116897,60543,42277,14764,,,,,
Female,65-79,White,1661431,639289,583263,372682,,,,,
Female,80+,Asian,23286,9323,7877,5101,,,,,
Female,80+,Black,61841,24182,21722,14103,,,,,
Female,80+,Hispanic,214750,87711,74146,45918,,,,,
Female,80+,Other,331607,115052,107270,82334,,,,,
Female,80+,Unknown,43816,22955,15887,4961,,,,,
Female,80+,White,494748,189618,172112,113373,,,,,
Female,Unknown,Asian,67,53,14,0,,,,,
Female,Unknown,Black,132,106,26,0,,,,,
Female,Unknown,Hispanic,740,624,115,,,,,,
Female,Unknown,Other,141,113,28,0,,,,,
Female,Unknown,Unknown,700,615,85,0,,,,,
Female,Unknown,White,489,390,99,0,,,,,
Male, 6mo-4yr,Asian,1829,1799,7,0,,,,,
Male, 6mo-4yr,Black,742,740,,0,,,,,
Male, 6mo-4yr,Hispanic,6392,6319,20,0,,,,,
Male, 6mo-4yr,Other,1019,994,4,0,,,,,
Male, 6mo-4yr,Unknown,487,473,4,0,,,,,
Male, 6mo-4yr,White,5552,5472,19,0,,,,,
Male,2022-05-11 00:00:00,Asian,62767,33012,27615,2118,,,,,
Male,2022-05-11 00:00:00,Black,47338,26236,20179,914,,,,,
Male,2022-05-11 00:00:00,Hispanic,514065,313055,192105,8791,,,,,
Male,2022-05-11 00:00:00,Other,180066,96583,76802,6624,,,,,
Male,2022-05-11 00:00:00,Unknown,34343,21765,12254,323,,,,,
Male,2022-05-11 00:00:00,White,151095,80997,64282,5771,,,,,
Male,2022-12-15 00:00:00,Asian,54960,25746,22795,6383,,,,,
Male,2022-12-15 00:00:00,Black,74140,38140,31548,4424,,,,,
Male,2022-12-15 00:00:00,Hispanic,594538,323400,236249,34755,,,,,
Male,2022-12-15 00:00:00,Other,251778,123156,106259,22157,,,,,
Male,2022-12-15 00:00:00,Unknown,24200,14752,8692,760,,,,,
Male,2022-12-15 00:00:00,White,203556,102056,85522,15887,,,,,
Male,16-49,Asian,705359,332529,284286,122699,,,,,
Male,16-49,Black,762457,384376,319666,84555,,,,,
Male,16-49,Hispanic,3885918,2036637,1618660,402262,,,,,
Male,16-49,Other,1596058,763646,652001,240630,,,,,
Male,16-49,Unknown,419236,258669,161277,24053,,,,,
Male,16-49,White,2795008,1380826,1184226,369471,,,,,
Male,50-64,Asian,227300,95374,84069,48599,,,,,
Male,50-64,Black,421734,183973,162498,79312,,,,,
Male,50-64,Hispanic,1473583,661820,564376,260480,,,,,
Male,50-64,Other,865045,345473,314077,186666,,,,,
Male,50-64,Unknown,170991,94637,66432,17127,,,,,
Male,50-64,White,1753264,773719,690218,316301,,,,,
