Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,7100,4573,941,0,,,,,
Female, 6mo-4yr,Black,3533,2387,289,0,,,,,
Female, 6mo-4yr,Hispanic,29472,21500,1860,0,,,,,
Female, 6mo-4yr,Other,3771,2497,471,0,,,,,
Female, 6mo-4yr,Unknown,2454,2019,186,0,,,,,
Female, 6mo-4yr,White,18715,12040,3138,0,,,,,
Female,2022-05-11 00:00:00,Asian,63687,32575,27297,3774,,,,,
Female,2022-05-11 00:00:00,Black,50555,27408,21098,2026,,,,,
Female,2022-05-11 00:00:00,Hispanic,548210,325416,203138,19389,,,,,
Female,2022-05-11 00:00:00,Other,190480,99421,79184,11785,,,,,
Female,2022-05-11 00:00:00,Unknown,34646,22109,11821,706,,,,,
Female,2022-05-11 00:00:00,White,153839,80523,64012,9218,,,,,
Female,2022-12-15 00:00:00,Asian,54572,25190,22209,7100,,,,,
Female,2022-12-15 00:00:00,Black,76880,39013,32377,5437,,,,,
Female,2022-12-15 00:00:00,Hispanic,618721,329326,245226,43812,,,,,
Female,2022-12-15 00:00:00,Other,257507,124017,107442,25708,,,,,
Female,2022-12-15 00:00:00,Unknown,23557,14303,8266,983,,,,,
Female,2022-12-15 00:00:00,White,204879,100970,85372,18375,,,,,
Female,16-49,Asian,728326,323530,278804,136247,,,,,
Female,16-49,Black,972877,472291,400249,119047,,,,,
Female,16-49,Hispanic,4471249,2232940,1810809,558151,,,,,
Female,16-49,Other,1834158,834255,728314,307474,,,,,
Female,16-49,Unknown,461518,268823,173521,34185,,,,,
Female,16-49,White,3103272,1478165,1278459,445558,,,,,
Female,50-64,Asian,250139,103325,89213,52538,,,,,
Female,50-64,Black,514988,211954,191527,103348,,,,,
Female,50-64,Hispanic,1687385,729773,617804,319090,,,,,
Female,50-64,Other,1090939,414573,380895,244757,,,,,
Female,50-64,Unknown,189015,100749,70554,21693,,,,,
Female,50-64,White,1917351,810619,730229,363698,,,,,
Female,65-79,Asian,125790,49487,41553,27703,,,,,
Female,65-79,Black,291300,107705,98857,68113,,,,,
Female,65-79,Hispanic,908958,357942,305423,198180,,,,,
