Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,3052,2631,86,0,,,,,
Female, 6mo-4yr,Black,1376,1209,14,0,,,,,
Female, 6mo-4yr,Hispanic,12509,11143,201,0,,,,,
Female, 6mo-4yr,Other,1573,1384,45,0,,,,,
Female, 6mo-4yr,Unknown,866,802,24,0,,,,,
Female, 6mo-4yr,White,8738,7541,374,0,,,,,
Female,2022-05-11 00:00:00,Asian,60884,31767,26521,2579,,,,,
Female,2022-05-11 00:00:00,Black,47828,26265,20313,1244,,,,,
Female,2022-05-11 00:00:00,Hispanic,520751,314430,194435,11760,,,,,
Female,2022-05-11 00:00:00,Other,180710,96155,76487,8016,,,,,
Female,2022-05-11 00:00:00,Unknown,33520,21218,11858,439,,,,,
Female,2022-05-11 00:00:00,White,147551,78566,62343,6595,,,,,
Female,2022-12-15 00:00:00,Asian,54147,25159,22222,6720,,,,,
Female,2022-12-15 00:00:00,Black,75691,38747,32154,4748,,,,,
Female,2022-12-15 00:00:00,Hispanic,605020,324198,241837,38772,,,,,
Female,2022-12-15 00:00:00,Other,253280,122943,106477,23603,,,,,
Female,2022-12-15 00:00:00,Unknown,23268,14069,8329,866,,,,,
Female,2022-12-15 00:00:00,White,203269,100760,85254,17124,,,,,
Female,16-49,Asian,726171,323142,278842,135022,,,,,
Female,16-49,Black,965351,470059,398511,116260,,,,,
Female,16-49,Hispanic,4426077,2214528,1801001,544543,,,,,
Female,16-49,Other,1811249,826531,721989,300765,,,,,
Female,16-49,Unknown,457861,263632,175294,34177,,,,,
Female,16-49,White,3090014,1474756,1276511,440199,,,,,
Female,50-64,Asian,248132,103221,89322,52034,,,,,
Female,50-64,Black,510396,212076,191663,101984,,,,,
Female,50-64,Hispanic,1663133,724834,614564,313326,,,,,
Female,50-64,Other,1066093,409345,376143,239192,,,,,
Female,50-64,Unknown,190946,101554,71809,22009,,,,,
Female,50-64,White,1903032,810159,730006,360161,,,,,
Female,65-79,Asian,124618,49373,41619,27538,,,,,
Female,65-79,Black,288579,108076,99172,67607,,,,,
Female,65-79,Hispanic,892250,355105,303353,194922,,,,,
Female,65-79,Other,1046109,352397,331901,262751,,,,,
Female,65-79,Unknown,116199,60136,41813,14608,,,,,
Female,65-79,White,1678800,639615,583748,375622,,,,,
Female,80+,Asian,23516,9343,7897,5141,,,,,
Female,80+,Black,62478,24183,21729,14237,,,,,
Female,80+,Hispanic,217729,88080,74461,46467,,,,,
Female,80+,Other,336571,115467,107711,83257,,,,,
Female,80+,Unknown,43650,22851,15762,4921,,,,,
Female,80+,White,499900,189742,172322,114269,,,,,
Female,Unknown,Asian,68,54,14,0,,,,,
Female,Unknown,Black,134,108,26,0,,,,,
Female,Unknown,Hispanic,763,647,115,,,,,,
Female,Unknown,Other,143,115,28,0,,,,,
Female,Unknown,Unknown,692,607,85,0,,,,,
Female,Unknown,White,498,399,99,0,,,,,
Male, 6mo-4yr,Asian,3066,2671,80,0,,,,,
Male, 6mo-4yr,Black,1274,1120,17,0,,,,,
Male, 6mo-4yr,Hispanic,12505,11103,177,0,,,,,
Male, 6mo-4yr,Other,1749,1481,70,0,,,,,
Male, 6mo-4yr,Unknown,853,794,16,0,,,,,
Male, 6mo-4yr,White,9093,7844,384,0,,,,,
Male,2022-05-11 00:00:00,Asian,64035,33446,27905,2655,,,,,
Male,2022-05-11 00:00:00,Black,48307,26650,20455,1187,,,,,
Male,2022-05-11 00:00:00,Hispanic,525111,317594,195352,12023,,,,,
Male,2022-05-11 00:00:00,Other,183679,97773,77676,8164,,,,,
Male,2022-05-11 00:00:00,Unknown,34591,21952,12203,434,,,,,
Male,2022-05-11 00:00:00,White,154091,81981,65022,7031,,,,,
Male,2022-12-15 00:00:00,Asian,55295,25797,22819,6637,,,,,
Male,2022-12-15 00:00:00,Black,74615,38262,31627,4685,,,,,
Male,2022-12-15 00:00:00,Hispanic,601104,326199,237581,37124,,,,,
Male,2022-12-15 00:00:00,Other,253684,123620,106648,23142,,,,,
Male,2022-12-15 00:00:00,Unknown,24261,14804,8646,815,,,,,
Male,2022-12-15 00:00:00,White,204563,102217,85630,16592,,,,,
Male,16-49,Asian,707192,333075,284434,123508,,,,,
Male,16-49,Black,765576,385269,320303,85753,,,,,
Male,16-49,Hispanic,3905799,2045357,1622464,408029,,,,,
Male,16-49,Other,1605536,766610,654246,243523,,,,,
Male,16-49,Unknown,422696,262097,161116,24210,,,,,
Male,16-49,White,2802551,1382678,1185237,372507,,,,,
Male,50-64,Asian,228905,95445,84068,48937,,,,,
Male,50-64,Black,424950,184038,162576,80165,,,,,
Male,50-64,Hispanic,1487815,664152,565996,263939,,,,,
Male,50-64,Other,879163,347616,316188,189659,,,,,
Male,50-64,Unknown,170555,94418,65989,17076,,,,,
Male,50-64,White,1767718,774556,690954,319532,,,,,
Male,65-79,Asian,106542,41602,35174,23860,,,,,
Male,65-79,Black,198902,76570,68451,45667,,,,,
Male,65-79,Hispanic,707026,280725,241781,155870,,,,,
Male,65-79,Other,824966,280185,262186,205793,,,,,
Male,65-79,Unknown,104333,54252,37748,13084,,,,,
Male,65-79,White,1467065,567029,512339,323653,,,,,
Male,80+,Asian,19040,7245,6192,4347,,,,,
Male,80+,Black,28934,11377,9868,6492,,,,,
Male,80+,Hispanic,132466,52911,44790,28936,,,,,
Male,80+,Other,207027,69238,64368,52193,,,,,
Male,80+,Unknown,28885,15308,10177,3301,,,,,
Male,80+,White,360447,135721,121654,83084,,,,,
Male,Unknown,Asian,60,46,14,0,,,,,
Male,Unknown,Black,97,78,19,0,,,,,
Male,Unknown,Hispanic,711,605,106,0,,,,,
Male,Unknown,Other,115,91,24,0,,,,,
Male,Unknown,Unknown,492,433,59,0,,,,,
Male,Unknown,White,422,346,76,0,,,,,
Unknown, 6mo-4yr,Asian,1,1,,0,,,,,
Unknown, 6mo-4yr,Hispanic,4,4,,0,,,,,
Unknown, 6mo-4yr,Other,9,8,,0,,,,,
Unknown, 6mo-4yr,Unknown,5,5,,0,,,,,
Unknown,2022-05-11 00:00:00,Asian,37,24,12,,,,,,
Unknown,2022-05-11 00:00:00,Black,12,8,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,814,700,113,,,,,,
Unknown,2022-05-11 00:00:00,Other,93,69,23,,,,,,
Unknown,2022-05-11 00:00:00,Unknown,138,91,45,,,,,,
Unknown,2022-05-11 00:00:00,White,45,32,10,,,,,,
Unknown,2022-12-15 00:00:00,Asian,29,17,9,,,,,,
Unknown,2022-12-15 00:00:00,Black,38,24,14,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,991,904,88,,,,,,
Unknown,2022-12-15 00:00:00,Other,120,79,38,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,131,110,20,,,,,,
Unknown,2022-12-15 00:00:00,White,124,79,42,,,,,,
Unknown,16-49,Asian,1423,794,609,105,,,,,
