Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,6979,4522,920,0,,,,,
Female, 6mo-4yr,Black,3458,2345,282,0,,,,,
Female, 6mo-4yr,Hispanic,28494,20898,1802,0,,,,,
Female, 6mo-4yr,Other,3721,2475,462,0,,,,,
Female, 6mo-4yr,Unknown,2379,1965,183,0,,,,,
Female, 6mo-4yr,White,18417,11907,3069,0,,,,,
Female,2022-05-11 00:00:00,Asian,63621,32563,27270,3749,,,,,
Female,2022-05-11 00:00:00,Black,50467,27382,21058,2005,,,,,
Female,2022-05-11 00:00:00,Hispanic,547039,325029,202641,19111,,,,,
Female,2022-05-11 00:00:00,Other,190292,99377,79098,11727,,,,,
Female,2022-05-11 00:00:00,Unknown,34604,22081,11818,696,,,,,
Female,2022-05-11 00:00:00,White,153688,80477,63938,9190,,,,,
Female,2022-12-15 00:00:00,Asian,54569,25190,22209,7097,,,,,
Female,2022-12-15 00:00:00,Black,76854,39010,32369,5422,,,,,
Female,2022-12-15 00:00:00,Hispanic,618100,329121,244982,43644,,,,,
Female,2022-12-15 00:00:00,Other,257433,124006,107415,25673,,,,,
Female,2022-12-15 00:00:00,Unknown,23540,14296,8263,976,,,,,
Female,2022-12-15 00:00:00,White,204848,100979,85364,18345,,,,,
Female,16-49,Asian,728320,323542,278821,136223,,,,,
Female,16-49,Black,972588,472211,400168,118944,,,,,
Female,16-49,Hispanic,4468738,2231866,1810092,557558,,,,,
Female,16-49,Other,1833144,833916,727967,307200,,,,,
Female,16-49,Unknown,461637,268800,173659,34196,,,,,
Female,16-49,White,3103067,1478185,1278422,445441,,,,,
Female,50-64,Asian,250098,103340,89230,52520,,,,,
Female,50-64,Black,514890,211976,191542,103317,,,,,
Female,50-64,Hispanic,1686048,729389,617485,318799,,,,,
Female,50-64,Other,1090147,414397,380710,244578,,,,,
Female,50-64,Unknown,189131,100815,70621,21701,,,,,
Female,50-64,White,1917141,810686,730263,363624,,,,,
Female,65-79,Asian,125756,49486,41555,27700,,,,,
Female,65-79,Black,291230,107718,98870,68103,,,,,
Female,65-79,Hispanic,908060,357742,305252,197976,,,,,
Female,65-79,Other,1069853,356264,335571,267590,,,,,
Female,65-79,Unknown,114477,59242,40925,14289,,,,,
Female,65-79,White,1693155,639489,583717,378143,,,,,
Female,80+,Asian,23761,9360,7909,5186,,,,,
Female,80+,Black,63208,24158,21720,14396,,,,,
Female,80+,Hispanic,221962,88801,75011,47403,,,,,
Female,80+,Other,342779,116098,108399,84598,,,,,
Female,80+,Unknown,43124,22536,15488,4860,,,,,
Female,80+,White,505686,189945,172537,115343,,,,,
Female,Unknown,Asian,71,57,14,0,,,,,
Female,Unknown,Black,136,110,26,0,,,,,
Female,Unknown,Hispanic,827,709,117,,,,,,
Female,Unknown,Other,148,118,30,0,,,,,
Female,Unknown,Unknown,698,613,85,0,,,,,
Female,Unknown,White,522,420,102,0,,,,,
Male, 6mo-4yr,Asian,7230,4723,902,0,,,,,
Male, 6mo-4yr,Black,3363,2323,254,0,,,,,
Male, 6mo-4yr,Hispanic,28633,20982,1762,0,,,,,
Male, 6mo-4yr,Other,3865,2577,494,0,,,,,
Male, 6mo-4yr,Unknown,2408,1991,195,0,,,,,
Male, 6mo-4yr,White,19141,12404,3161,0,,,,,
Male,2022-05-11 00:00:00,Asian,66862,34257,28642,3911,,,,,
Male,2022-05-11 00:00:00,Black,51052,27707,21238,2077,,,,,
Male,2022-05-11 00:00:00,Hispanic,552367,328561,203952,19588,,,,,
Male,2022-05-11 00:00:00,Other,193416,101077,80345,11897,,,,,
Male,2022-05-11 00:00:00,Unknown,35506,22695,12140,664,,,,,
Male,2022-05-11 00:00:00,White,160431,83915,66620,9792,,,,,
Male,2022-12-15 00:00:00,Asian,55753,25829,22806,7066,,,,,
Male,2022-12-15 00:00:00,Black,75885,38568,31854,5399,,,,,
Male,2022-12-15 00:00:00,Hispanic,614905,331657,240894,42030,,,,,
Male,2022-12-15 00:00:00,Other,257939,124757,107568,25272,,,,,
Male,2022-12-15 00:00:00,Unknown,24527,15016,8571,941,,,,,
Male,2022-12-15 00:00:00,White,206258,102419,85738,17935,,,,,
Male,16-49,Asian,709444,333862,284529,124569,,,,,
Male,16-49,Black,770163,386664,321286,87518,,,,,
Male,16-49,Hispanic,3937702,2059565,1629309,416945,,,,,
Male,16-49,Other,1622779,772834,658952,248449,,,,,
Male,16-49,Unknown,434311,274140,160474,24321,,,,,
Male,16-49,White,2812976,1385732,1187052,376543,,,,,
Male,50-64,Asian,230348,95480,83970,49251,,,,,
Male,50-64,Black,428056,183954,162494,81043,,,,,
Male,50-64,Hispanic,1505465,667599,568362,268436,,,,,
Male,50-64,Other,897064,351590,319762,193738,,,,,
Male,50-64,Unknown,169754,94269,65171,16920,,,,,
Male,50-64,White,1779486,775155,691381,322527,,,,,
Male,65-79,Asian,107423,41676,35109,23963,,,,,
Male,65-79,Black,200893,76491,68404,46052,,,,,
Male,65-79,Hispanic,718888,282603,243169,158207,,,,,
Male,65-79,Other,841917,283033,264908,209226,,,,,
Male,65-79,Unknown,102688,53392,36943,12819,,,,,
Male,65-79,White,1479424,567431,512736,325757,,,,,
Male,80+,Asian,19200,7252,6178,4378,,,,,
Male,80+,Black,29228,11373,9869,6539,,,,,
Male,80+,Hispanic,134855,53281,45103,29413,,,,,
Male,80+,Other,211191,69804,64987,53022,,,,,
Male,80+,Unknown,28448,15081,9985,3215,,,,,
Male,80+,White,363858,135770,121730,83669,,,,,
Male,Unknown,Asian,70,52,18,0,,,,,
Male,Unknown,Black,98,79,19,0,,,,,
Male,Unknown,Hispanic,759,649,110,0,,,,,
Male,Unknown,Other,118,94,24,0,,,,,
Male,Unknown,Unknown,502,443,59,0,,,,,
Male,Unknown,White,434,354,80,0,,,,,
Unknown, 6mo-4yr,Asian,2,2,,0,,,,,
Unknown, 6mo-4yr,Hispanic,5,5,,0,,,,,
Unknown, 6mo-4yr,Other,10,9,,0,,,,,
Unknown, 6mo-4yr,Unknown,13,11,,0,,,,,
Unknown,2022-05-11 00:00:00,Asian,36,23,12,,,,,,
Unknown,2022-05-11 00:00:00,Black,11,8,3,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,820,703,116,,,,,,
Unknown,2022-05-11 00:00:00,Other,93,67,25,,,,,,
Unknown,2022-05-11 00:00:00,Unknown,135,88,42,,,,,,
Unknown,2022-05-11 00:00:00,White,44,31,10,,,,,,
