Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54597,29795,24735,60,,,,,
Female,2022-05-11 00:00:00,Black,43065,24314,18710,42,,,,,
Female,2022-05-11 00:00:00,Hispanic,451757,281262,169940,533,,,,,
Female,2022-05-11 00:00:00,Other,161015,90000,70769,229,,,,,
Female,2022-05-11 00:00:00,Unknown,31460,19873,11572,17,,,,,
Female,2022-05-11 00:00:00,White,132768,74399,58206,161,,,,,
Female,2022-12-15 00:00:00,Asian,52017,24894,21990,5126,,,,,
Female,2022-12-15 00:00:00,Black,73134,38071,31579,3479,,,,,
Female,2022-12-15 00:00:00,Hispanic,568570,308940,230799,28831,,,,,
Female,2022-12-15 00:00:00,Other,243161,120788,104269,18046,,,,,
Female,2022-12-15 00:00:00,Unknown,22872,13816,8417,640,,,,,
Female,2022-12-15 00:00:00,White,196960,99735,84000,13205,,,,,
Female,16-49,Asian,714054,321105,278143,128050,,,,,
Female,16-49,Black,937996,461649,391258,106810,,,,,
Female,16-49,Hispanic,4290901,2159907,1771379,501910,,,,,
Female,16-49,Other,1747517,808238,706575,279569,,,,,
Female,16-49,Unknown,450259,252931,179297,33550,,,,,
Female,16-49,White,3032309,1461021,1266017,416758,,,,,
Female,50-64,Asian,238287,102445,89267,49502,,,,,
Female,50-64,Black,490968,211562,190921,96362,,,,,
Female,50-64,Hispanic,1577461,708674,603187,291937,,,,,
Female,50-64,Other,980610,397230,364226,220806,,,,,
Female,50-64,Unknown,196686,104323,75556,22886,,,,,
Female,50-64,White,1825785,806073,725993,341776,,,,,
Female,65-79,Asian,117550,48678,41457,26353,,,,,
Female,65-79,Black,273483,108508,99278,64542,,,,,
Female,65-79,Hispanic,829975,346342,296472,182677,,,,,
Female,65-79,Other,942643,341764,320569,243924,,,,,
Female,65-79,Unknown,121066,62837,44672,15571,,,,,
Female,65-79,White,1588124,637589,580858,359730,,,,,
Female,80+,Asian,22076,9212,7824,4879,,,,,
Female,80+,Black,59309,24214,21705,13584,,,,,
Female,80+,Hispanic,201631,85678,72492,43081,,,,,
Female,80+,Other,305351,113128,105042,77101,,,,,
Female,80+,Unknown,44824,23600,16568,5147,,,,,
Female,80+,White,471527,188967,171275,108928,,,,,
Female,Unknown,Asian,130,97,38,,,,,,
Female,Unknown,Black,190,152,44,6,,,,,
Female,Unknown,Hispanic,1485,1267,279,8,,,,,
Female,Unknown,Other,229,185,47,0,,,,,
Female,Unknown,Unknown,813,707,119,,,,,,
Female,Unknown,White,739,580,193,10,,,,,
Male,2022-05-11 00:00:00,Asian,57361,31323,25972,59,,,,,
Male,2022-05-11 00:00:00,Black,43537,24641,18858,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,455200,283736,170907,534,,,,,
Male,2022-05-11 00:00:00,Other,164183,91854,72051,259,,,,,
Male,2022-05-11 00:00:00,Unknown,32728,20738,11959,33,,,,,
Male,2022-05-11 00:00:00,White,138078,77315,60605,152,,,,,
Male,2022-12-15 00:00:00,Asian,53136,25566,22569,4994,,,,,
Male,2022-12-15 00:00:00,Black,72026,37555,30981,3483,,,,,
Male,2022-12-15 00:00:00,Hispanic,563158,309206,226493,27436,,,,,
Male,2022-12-15 00:00:00,Other,243700,121453,104452,17725,,,,,
Male,2022-12-15 00:00:00,Unknown,23648,14428,8661,567,,,,,
Male,2022-12-15 00:00:00,White,198475,101252,84422,12784,,,,,
Male,16-49,Asian,695245,329466,283329,117660,,,,,
Male,16-49,Black,747033,379469,315495,79200,,,,,
Male,16-49,Hispanic,3798444,1997597,1598086,376952,,,,,
Male,16-49,Other,1554432,750414,641433,227143,,,,,
Male,16-49,Unknown,400535,239796,161985,23355,,,,,
Male,16-49,White,2756200,1370646,1176065,353774,,,,,
Male,50-64,Asian,220437,94982,84024,46754,,,,,
Male,50-64,Black,409994,183455,161849,75921,,,,,
Male,50-64,Hispanic,1420972,651792,556792,246437,,,,,
Male,50-64,Other,812272,337571,306338,175025,,,,,
Male,50-64,Unknown,173381,95717,68394,17419,,,,,
Male,50-64,White,1700256,770352,686723,303623,,,,,
Male,65-79,Asian,100458,41114,35023,22914,,,,,
Male,65-79,Black,188809,76627,68260,43716,,,,,
Male,65-79,Hispanic,659090,274138,236013,146372,,,,,
Male,65-79,Other,745821,271644,252838,191546,,,,,
Male,65-79,Unknown,108869,56893,40203,13963,,,,,
Male,65-79,White,1389812,564297,508399,310413,,,,,
Male,80+,Asian,17784,7138,6161,4133,,,,,
Male,80+,Black,27387,11344,9806,6223,,,,,
Male,80+,Hispanic,122619,51434,43433,27021,,,,,
Male,80+,Other,187473,67714,62473,48545,,,,,
Male,80+,Unknown,29760,15843,10671,3506,,,,,
Male,80+,White,339595,134905,120449,79594,,,,,
Male,Unknown,Asian,146,103,46,,,,,,
Male,Unknown,Black,143,115,36,,,,,,
Male,Unknown,Hispanic,1425,1225,268,10,,,,,
Male,Unknown,Other,218,171,60,,,,,,
Male,Unknown,Unknown,591,513,90,0,,,,,
Male,Unknown,White,679,532,183,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,37,24,13,0,,,,,
Unknown,2022-05-11 00:00:00,Black,11,7,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,767,683,84,0,,,,,
Unknown,2022-05-11 00:00:00,Other,88,67,21,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,136,91,45,0,,,,,
Unknown,2022-05-11 00:00:00,White,46,36,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,30,16,11,,,,,,
Unknown,2022-12-15 00:00:00,Black,35,22,13,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,546,479,69,0,,,,,
Unknown,2022-12-15 00:00:00,Other,112,76,34,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,142,118,23,,,,,,
Unknown,2022-12-15 00:00:00,White,124,78,43,,,,,,
Unknown,16-49,Asian,1462,815,632,106,,,,,
Unknown,16-49,Black,1607,914,718,69,,,,,
Unknown,16-49,Hispanic,13160,8101,6547,540,,,,,
Unknown,16-49,Other,10793,6593,4649,384,,,,,
