Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,5339,3703,629,0,,,,,
Female, 6mo-4yr,Black,2544,1831,168,0,,,,,
Female, 6mo-4yr,Hispanic,21774,17003,1207,0,,,,,
Female, 6mo-4yr,Other,2845,2039,299,0,,,,,
Female, 6mo-4yr,Unknown,1736,1504,105,0,,,,,
Female, 6mo-4yr,White,14430,9956,2145,0,,,,,
Female,2022-05-11 00:00:00,Asian,62675,32301,26918,3427,,,,,
Female,2022-05-11 00:00:00,Black,49449,26947,20691,1798,,,,,
Female,2022-05-11 00:00:00,Hispanic,536771,320946,199150,16496,,,,,
Female,2022-05-11 00:00:00,Other,186670,98110,77935,10557,,,,,
Female,2022-05-11 00:00:00,Unknown,34161,21729,11831,595,,,,,
Female,2022-05-11 00:00:00,White,151345,79753,63233,8291,,,,,
Female,2022-12-15 00:00:00,Asian,54463,25194,22213,6998,,,,,
Female,2022-12-15 00:00:00,Black,76499,38930,32290,5228,,,,,
Female,2022-12-15 00:00:00,Hispanic,612976,327179,243592,41908,,,,,
Female,2022-12-15 00:00:00,Other,255831,123563,106942,25019,,,,,
Female,2022-12-15 00:00:00,Unknown,23466,14229,8298,935,,,,,
Female,2022-12-15 00:00:00,White,204336,100907,85316,17961,,,,,
Female,16-49,Asian,727691,323453,278897,135825,,,,,
Female,16-49,Black,969748,471279,399456,118008,,,,,
Female,16-49,Hispanic,4451538,2224754,1806062,552585,,,,,
Female,16-49,Other,1823310,830472,725012,304492,,,,,
Female,16-49,Unknown,460347,266712,174511,34252,,,,,
Female,16-49,White,3098515,1477106,1277670,443588,,,,,
Female,50-64,Asian,249488,103315,89301,52364,,,,,
Female,50-64,Black,513467,212024,191611,102905,,,,,
Female,50-64,Hispanic,1677695,727538,616312,316875,,,,,
Female,50-64,Other,1080063,412004,378508,242284,,,,,
Female,50-64,Unknown,190141,101269,71168,21848,,,,,
Female,50-64,White,1913079,810660,730373,362571,,,,,
Female,65-79,Asian,125451,49476,41595,27677,,,,,
Female,65-79,Black,290509,107863,99002,67974,,,,,
Female,65-79,Hispanic,902257,356597,304483,196842,,,,,
Female,65-79,Other,1060468,354432,333842,265600,,,,,
Female,65-79,Unknown,115197,59605,41282,14434,,,,,
Female,65-79,White,1689747,639842,584024,377570,,,,,
Female,80+,Asian,23662,9352,7900,5165,,,,,
Female,80+,Black,62971,24167,21725,14332,,,,,
Female,80+,Hispanic,220312,88462,74750,47016,,,,,
Female,80+,Other,340520,115832,108103,84084,,,,,
Female,80+,Unknown,43344,22663,15607,4873,,,,,
Female,80+,White,504048,189943,172524,115044,,,,,
Female,Unknown,Asian,69,55,14,0,,,,,
Female,Unknown,Black,135,109,26,0,,,,,
Female,Unknown,Hispanic,792,676,115,,,,,,
Female,Unknown,Other,144,115,29,0,,,,,
Female,Unknown,Unknown,695,610,85,0,,,,,
Female,Unknown,White,516,415,101,0,,,,,
Male, 6mo-4yr,Asian,5476,3881,612,0,,,,,
Male, 6mo-4yr,Black,2550,1880,175,0,,,,,
Male, 6mo-4yr,Hispanic,21760,16993,1103,0,,,,,
Male, 6mo-4yr,Other,3017,2138,335,0,,,,,
Male, 6mo-4yr,Unknown,1724,1474,111,0,,,,,
Male, 6mo-4yr,White,14995,10352,2211,0,,,,,
Male,2022-05-11 00:00:00,Asian,65816,33964,28281,3532,,,,,
Male,2022-05-11 00:00:00,Black,50050,27365,20865,1798,,,,,
Male,2022-05-11 00:00:00,Hispanic,541715,324315,200363,16840,,,,,
Male,2022-05-11 00:00:00,Other,189787,99817,79178,10709,,,,,
Male,2022-05-11 00:00:00,Unknown,35115,22373,12160,577,,,,,
Male,2022-05-11 00:00:00,White,157958,83175,65868,8831,,,,,
Male,2022-12-15 00:00:00,Asian,55638,25831,22815,6945,,,,,
Male,2022-12-15 00:00:00,Black,75480,38470,31762,5192,,,,,
